Serial Number,NZDT,Heading
004-0009-00431,16/10/20 16:44:45,338.5275779
004-0009-00431,16/10/20 16:44:44,335.3138234
004-0009-00431,16/10/20 16:44:43,340.7508656
004-0009-00431,16/10/20 16:44:42,338.5634172
004-0009-00431,16/10/20 16:44:41,339.4076289
004-0009-00431,16/10/20 16:44:40,338.8517021
004-0009-00431,16/10/20 16:44:39,344.3120167
004-0009-00431,16/10/20 16:44:38,340.4152871
004-0009-00431,16/10/20 16:44:37,340.4759122
004-0009-00431,16/10/20 16:44:36,340.1904033
004-0009-00431,16/10/20 16:44:35,339.5033436
004-0009-00431,16/10/20 16:44:34,339.7360573
004-0009-00431,16/10/20 16:44:33,339.7803492
004-0009-00431,16/10/20 16:44:32,341.4900199
004-0009-00431,16/10/20 16:44:30,340.5482481
004-0009-00431,16/10/20 16:44:29,339.4253273
004-0009-00431,16/10/20 16:44:28,339.4756892
004-0009-00431,16/10/20 16:44:26,338.3875082
004-0009-00431,16/10/20 16:44:25,336.7970742
004-0009-00431,16/10/20 16:44:24,347.9490345
004-0009-00431,16/10/20 16:44:23,339.9997934
004-0009-00431,16/10/20 16:44:21,335.2593432
004-0009-00431,16/10/20 16:44:20,329.984621
004-0009-00431,16/10/20 16:44:19,332.6213095
004-0009-00431,16/10/20 16:44:18,337.25098
004-0009-00431,16/10/20 16:44:17,336.5162139
004-0009-00431,16/10/20 16:44:15,347.9569653
004-0009-00431,16/10/20 16:44:13,345.7475873
004-0009-00431,16/10/20 16:44:12,343.658781
004-0009-00431,16/10/20 16:44:11,340.2007788
004-0009-00431,16/10/20 16:44:10,338.9689954
004-0009-00431,16/10/20 16:44:09,345.6785302
004-0009-00431,16/10/20 16:44:08,344.6206986
004-0009-00431,16/10/20 16:44:06,339.792481
004-0009-00431,16/10/20 16:44:05,359.1598578
004-0009-00431,16/10/20 16:44:04,358.5988444
004-0009-00431,16/10/20 16:44:02,347.967323
004-0009-00431,16/10/20 16:44:01,347.0883311
004-0009-00431,16/10/20 16:44:00,343.6588732
004-0009-00431,16/10/20 16:43:59,339.3574329
004-0009-00431,16/10/20 16:43:58,340.6107156
004-0009-00431,16/10/20 16:43:57,342.3025213
004-0009-00431,16/10/20 16:43:56,343.3422073
004-0009-00431,16/10/20 16:43:55,339.6377041
004-0009-00431,16/10/20 16:43:54,347.4650671
004-0009-00431,16/10/20 16:43:53,340.3033349
004-0009-00431,16/10/20 16:43:51,328.7416665
004-0009-00431,16/10/20 16:43:50,331.1650774
004-0009-00431,16/10/20 16:43:49,344.411116
004-0009-00431,16/10/20 16:43:48,338.2552879
004-0009-00431,16/10/20 16:43:47,340.4893484
004-0009-00431,16/10/20 16:43:46,345.6960463
004-0009-00431,16/10/20 16:43:45,346.2745747
004-0009-00431,16/10/20 16:43:43,338.8856151
004-0009-00431,16/10/20 16:43:42,328.3640152
004-0009-00431,16/10/20 16:43:41,316.7788944
004-0009-00431,16/10/20 16:43:40,312.138634
004-0009-00431,16/10/20 16:43:39,323.7915376
004-0009-00431,16/10/20 16:43:38,330.8083473
004-0009-00431,16/10/20 16:43:36,359.2877263
004-0009-00431,16/10/20 16:43:35,356.0917967
004-0009-00431,16/10/20 16:43:34,349.9637582
004-0009-00431,16/10/20 16:43:33,364.6309623
004-0009-00431,16/10/20 16:43:31,352.7038327
004-0009-00431,16/10/20 16:43:30,331.2677261
004-0009-00431,16/10/20 16:43:29,346.0007484
004-0009-00431,16/10/20 16:43:27,347.1442509
004-0009-00431,16/10/20 16:43:26,350.6044725
004-0009-00431,16/10/20 16:43:25,345.6644998
004-0009-00431,16/10/20 16:43:24,343.0600116
004-0009-00431,16/10/20 16:43:23,352.8068495
004-0009-00431,16/10/20 16:43:22,342.618541
004-0009-00431,16/10/20 16:43:21,333.4171399
004-0009-00431,16/10/20 16:43:19,345.1514977
004-0009-00431,16/10/20 16:43:18,348.7296699
004-0009-00431,16/10/20 16:43:16,361.3845913
004-0009-00431,16/10/20 16:43:15,350.487381
004-0009-00431,16/10/20 16:43:14,331.7258098
004-0009-00431,16/10/20 16:43:12,367.465798
004-0009-00431,16/10/20 16:43:11,360.9053016
004-0009-00431,16/10/20 16:43:10,358.3784534
004-0009-00431,16/10/20 16:43:09,354.8616195
004-0009-00199,16/10/20 17:12:38,336.3019114
004-0009-00199,16/10/20 17:12:37,334.3275225
004-0009-00199,16/10/20 17:12:36,293.9939205
004-0009-00199,16/10/20 17:12:35,328.9204431
004-0009-00199,16/10/20 17:12:34,313.2852323
004-0009-00199,16/10/20 17:12:33,318.8783287
004-0009-00199,16/10/20 17:12:32,341.1839476
004-0009-00199,16/10/20 17:12:31,338.6389019
004-0009-00199,16/10/20 17:12:30,341.4091006
004-0009-00199,16/10/20 17:12:29,335.9075061
004-0009-00199,16/10/20 17:12:28,336.7377805
004-0009-00199,16/10/20 17:12:27,339.1916709
004-0009-00199,16/10/20 17:12:26,345.0482438
004-0009-00199,16/10/20 17:12:25,346.3792563
004-0009-00199,16/10/20 17:12:24,344.4108028
004-0009-00199,16/10/20 17:12:23,338.4767058
004-0009-00199,16/10/20 17:12:22,335.1349156
004-0009-00199,16/10/20 17:12:21,343.0070341
004-0009-00199,16/10/20 17:12:19,345.4645865
004-0009-00199,16/10/20 17:12:17,347.5577087
004-0009-00199,16/10/20 17:12:16,348.1240414
004-0009-00199,16/10/20 17:12:15,348.9202042
004-0009-00199,16/10/20 17:12:14,347.4324027
004-0009-00199,16/10/20 17:12:13,347.4304828
004-0009-00199,16/10/20 17:12:12,345.234626
004-0009-00199,16/10/20 17:12:11,336.2369398
004-0009-00199,16/10/20 17:12:09,340.0679344
004-0009-00199,16/10/20 17:12:08,332.4658533
004-0009-00199,16/10/20 17:12:07,332.6157962
004-0009-00199,16/10/20 17:12:06,336.5828041
004-0009-00199,16/10/20 17:12:04,332.2148859
004-0009-00199,16/10/20 17:12:03,336.1474357
004-0009-00199,16/10/20 17:12:02,338.6722666
004-0009-00199,16/10/20 17:12:01,327.0434976
004-0009-00199,16/10/20 17:12:00,337.2639214
004-0009-00199,16/10/20 17:11:59,323.8398076
004-0009-00199,16/10/20 17:11:58,326.3737506
004-0009-00199,16/10/20 17:11:56,338.4288397
004-0009-00199,16/10/20 17:11:55,337.9448412
004-0009-00199,16/10/20 17:11:54,329.9466986
004-0009-00199,16/10/20 17:11:52,343.3939453
004-0009-00199,16/10/20 17:11:51,359.1751512
004-0009-00199,16/10/20 17:11:49,350.3524964
004-0009-00199,16/10/20 17:11:47,343.1843837
004-0009-00199,16/10/20 17:11:46,351.9271839
004-0009-00199,16/10/20 17:11:44,348.0572648
004-0009-00199,16/10/20 17:11:43,360.3227322
004-0009-00199,16/10/20 17:11:41,360.1805577
004-0009-00199,16/10/20 17:11:39,346.8925518
004-0009-00199,16/10/20 17:11:38,343.0305346
004-0009-00199,16/10/20 17:11:36,343.8415274
004-0009-00199,16/10/20 17:11:35,342.4759439
004-0009-00199,16/10/20 17:11:34,341.8997894
004-0009-00199,16/10/20 17:11:33,337.1885497
004-0009-00199,16/10/20 17:11:32,336.1917033
004-0009-00199,16/10/20 17:11:31,332.9549727
004-0009-00199,16/10/20 17:11:29,336.4271527
