Serial Number,NZDT,Latitude,Longitude,GPS Heading,GPS Speed
004-0009-00481,16/10/20 17:22:20,-37.5565304,175.4590802,356,1.104021358
004-0009-00481,16/10/20 17:22:19,-37.5565403,175.4590811,353,1.19952955
004-0009-00431,16/10/20 16:48:00,-37.5534487,175.4591514,3,1.149044093
004-0009-00431,16/10/20 16:47:59,-37.553459,175.4591504,2,1.268295061
004-0009-00431,16/10/20 16:47:58,-37.5534704,175.4591501,3,0.857599892
004-0009-00431,16/10/20 16:47:57,-37.5534781,175.4591496,17,0.564999855
004-0009-00431,16/10/20 16:47:56,-37.5534829,175.4591475,270,0.144598783
004-0009-00431,16/10/20 16:47:55,-37.5534842,175.4591475,231,0.188333285
004-0009-00431,16/10/20 16:47:54,-37.5534826,175.4591482,323,0.022006817
004-0009-00431,16/10/20 16:47:52,-37.5534885,175.4591515,346,1.113837924
004-0009-00431,16/10/20 16:47:51,-37.5534981,175.4591551,342,1.05547655
004-0009-00431,16/10/20 16:47:50,-37.5535071,175.4591589,349,0.5434155
004-0009-00431,16/10/20 16:47:48,-37.5535167,175.4591612,4,1.223528166
004-0009-00431,16/10/20 16:47:47,-37.5535277,175.4591612,13,1.235481687
004-0009-00431,16/10/20 16:47:46,-37.5535386,175.4591585,19,0.881054544
004-0009-00431,16/10/20 16:47:44,-37.5535535,175.4591517,9,1.119633072
004-0009-00431,16/10/20 16:47:43,-37.5535634,175.4591494,359,1.868661199
004-0009-00431,16/10/20 16:47:42,-37.5535802,175.4591494,3,1.115116178
004-0009-00431,16/10/20 16:47:41,-37.5535902,175.4591485,359,0.951015074
004-0009-00431,16/10/20 16:47:39,-37.5536073,175.4591485,1,1.746308382
004-0009-00431,16/10/20 16:47:38,-37.553623,175.4591485,0,1.957664856
004-0009-00431,16/10/20 16:47:37,-37.5536406,175.4591484,359,1.212405183
004-0009-00431,16/10/20 16:47:36,-37.5536515,175.4591484,1,0.595079608
004-0009-00431,16/10/20 16:47:34,-37.5536742,175.4591476,3,1.126864771
004-0009-00431,16/10/20 16:47:33,-37.5536843,175.4591466,358,1.245805231
004-0009-00431,16/10/20 16:47:32,-37.5536955,175.4591465,359,0.962178325
004-0009-00431,16/10/20 16:47:30,-37.5537128,175.4591463,359,1.86874413
004-0009-00431,16/10/20 16:47:29,-37.5537296,175.4591465,359,1.346140039
004-0009-00431,16/10/20 16:47:28,-37.5537417,175.4591468,356,1.168211772
004-0009-00431,16/10/20 16:47:27,-37.5537522,175.4591471,353,1.296138131
004-0009-00431,16/10/20 16:47:26,-37.5537638,175.4591485,351,0.750420697
004-0009-00431,16/10/20 16:47:24,-37.5537772,175.4591505,353,1.842897332
004-0009-00431,16/10/20 16:47:23,-37.5537937,175.4591524,352,1.273173331
004-0009-00431,16/10/20 16:47:22,-37.5538051,175.4591537,352,2.044697611
